"","Periodo","tipo_despesa","valor_variacao","valor_diferenca","valor_acumulado","participacao"
"1",2010-12-01,"discricionaria",1,NA,128285.330663798,18.1381009678744
"2",2010-12-01,"obrigatoria",1,NA,578984.580839135,81.8618990321256
"3",2011-01-01,"discricionaria",1.03360596417267,NA,132596.482889965,18.4174318099085
"4",2011-01-01,"obrigatoria",1.01445621845834,NA,587354.508423754,81.5825681900915
"5",2011-02-01,"discricionaria",1.02842282649128,NA,131931.562358631,18.2563892871317
"6",2011-02-01,"obrigatoria",1.02028296780014,NA,590728.106449072,81.7436107128683
"7",2011-03-01,"discricionaria",1.01949719785671,NA,130786.535137863,18.2017156019094
"8",2011-03-01,"obrigatoria",1.0151445961299,NA,587753.068481385,81.7982843980905
"9",2011-04-01,"discricionaria",1.02457870099046,NA,131438.417447645,18.0623738299005
"10",2011-04-01,"obrigatoria",1.02982605331673,NA,596253.405816811,81.9376261700995
"11",2011-05-01,"discricionaria",1.02016689143793,NA,130872.447000374,17.9192482331472
"12",2011-05-01,"obrigatoria",1.03538713497902,NA,599473.186352061,82.0807517668528
"13",2011-06-01,"discricionaria",1.0337938267718,NA,132620.582905614,17.9181641561149
"14",2011-06-01,"obrigatoria",1.0492947131688,NA,607525.459680757,82.0818358438851
"15",2011-07-01,"discricionaria",1.03119814970152,NA,132287.595614356,17.6860204154244
"16",2011-07-01,"obrigatoria",1.06339741874701,NA,615690.708758657,82.3139795845756
"17",2011-08-01,"discricionaria",1.04316496729145,NA,133822.762765874,17.7881466335982
"18",2011-08-01,"obrigatoria",1.06823482415735,NA,618491.491902512,82.2118533664018
"19",2011-09-01,"discricionaria",0.693206656570697,NA,88928.2451565176,12.5006569036214
"20",2011-09-01,"obrigatoria",1.0750896510835,NA,622460.330997072,87.4993430963786
"21",2011-10-01,"discricionaria",0.692892024818705,NA,88887.8825181761,12.3918101173404
"22",2011-10-01,"obrigatoria",1.08538925979915,NA,628423.645632109,87.6081898826596
"23",2011-11-01,"discricionaria",0.688573329373709,NA,88333.8572449785,12.2732277721159
"24",2011-11-01,"obrigatoria",1.0905197952439,NA,631394.146546069,87.7267722278841
"25",2011-12-01,"discricionaria",0.727226919564728,-34992.7848198216,93292.5458439763,12.7215365687676
"26",2011-12-01,"obrigatoria",1.10547128897224,61066.2500361544,640050.83087529,87.2784634312324
"27",2012-01-01,"discricionaria",0.736664114679614,NA,94503.1995398282,12.8059745999464
"28",2012-01-01,"obrigatoria",1.11135704294386,NA,643458.591671471,87.1940254000536
"29",2012-02-01,"discricionaria",0.742964327676505,NA,95311.4244473867,12.8187267143366
"30",2012-02-01,"obrigatoria",1.11958296283718,NA,648221.272452921,87.1812732856635
"31",2012-03-01,"discricionaria",0.76715636863284,NA,98414.9084209023,13.0694753996304
"32",2012-03-01,"obrigatoria",1.1305975487006,NA,654598.547832172,86.9305246003696
"33",2012-04-01,"discricionaria",0.790338567733947,NA,101388.844498102,13.2746269871226
"34",2012-04-01,"obrigatoria",1.14405532163583,NA,662390.390854101,86.7253730128774
"35",2012-05-01,"discricionaria",0.799847121572153,NA,102608.652471371,13.3129498422014
"36",2012-05-01,"obrigatoria",1.15397636815817,NA,668134.523816327,86.6870501577987
"37",2012-06-01,"discricionaria",0.821061849879758,NA,105330.190907254,13.5696503781681
"38",2012-06-01,"obrigatoria",1.15873329161773,NA,670888.709151644,86.4303496218319
"39",2012-07-01,"discricionaria",0.834110523743979,NA,107004.14434865,13.6725369419816
"40",2012-07-01,"obrigatoria",1.16689955268987,NA,675616.848395519,86.3274630580184
"41",2012-08-01,"discricionaria",0.841809822887952,NA,107991.851485214,13.6599350508605
"42",2012-08-01,"obrigatoria",1.17892920306715,NA,682581.830476848,86.3400649491395
"43",2012-09-01,"discricionaria",0.842905311418195,NA,108132.386593555,13.5648467091951
"44",2012-09-01,"obrigatoria",1.19004752816828,NA,689019.169275159,86.4351532908049
"45",2012-10-01,"discricionaria",0.863507037340473,NA,110775.285815739,13.7592551211945
"46",2012-10-01,"obrigatoria",1.19920507247595,NA,694321.24622765,86.2407448788055
"47",2012-11-01,"discricionaria",0.876639661154551,NA,112460.008804211,13.7704512203353
"48",2012-11-01,"obrigatoria",1.2162953812287,NA,704216.271477276,86.2295487796647
"49",2012-12-01,"discricionaria",0.840132585518419,14484.1406906856,107776.686534662,13.2094325097429
"50",2012-12-01,"obrigatoria",1.22305559119918,68079.4979381259,708130.328813415,86.7905674902571
"51",2013-01-01,"discricionaria",0.874890304491598,NA,112235.592006256,13.6101177734135
"52",2013-01-01,"obrigatoria",1.23045178961105,NA,712412.613650717,86.3898822265865
"53",2013-02-01,"discricionaria",0.887591321202569,NA,113864.946134789,13.68679266071
"54",2013-02-01,"obrigatoria",1.24021966643566,NA,718068.063719704,86.31320733929
"55",2013-03-01,"discricionaria",0.87511388659435,NA,112264.274310238,13.4213219071344
"56",2013-03-01,"obrigatoria",1.25080679828539,NA,724197.84981601,86.5786780928656
"57",2013-04-01,"discricionaria",0.887163218342254,NA,113810.026817795,13.387511501174
"58",2013-04-01,"obrigatoria",1.27172786533228,NA,736310.825050861,86.6124884988259
"59",2013-05-01,"discricionaria",0.896588997610059,NA,115019.21602793,13.4407885713229
"60",2013-05-01,"obrigatoria",1.27935758070079,NA,740728.312605418,86.5592114286771
"61",2013-06-01,"discricionaria",0.893589418707681,NA,114634.414056586,13.250201426964
"62",2013-06-01,"obrigatoria",1.29626564819287,NA,750517.822975119,86.749798573036
"63",2013-07-01,"discricionaria",0.907718774303675,NA,116447.003111284,13.3169082623965
